partij,type,medium,days,gezien,waardering
FvD & Thierry Baudet,Coalitievoorkeur,TV,Vaak,1.7,3.03
FvD & Thierry Baudet,Niet stemmer,Krant,Nauwelijks,1.02,3.48
FvD & Thierry Baudet,Niet stemmer,Krant,Regelmatig,0.78,4
FvD & Thierry Baudet,Niet stemmer,Krant,Vaak,1.33,5.75
FvD & Thierry Baudet,Niet stemmer,Socials,Nauwelijks,0.95,3.62
FvD & Thierry Baudet,Niet stemmer,Socials,Regelmatig,1.19,4
FvD & Thierry Baudet,Niet stemmer,Socials,Vaak,1.27,6.5
FvD & Thierry Baudet,Niet stemmer,TV,Nauwelijks,0.85,4
FvD & Thierry Baudet,Niet stemmer,TV,Regelmatig,1,2
FvD & Thierry Baudet,Niet stemmer,TV,Vaak,1.38,4.33
FvD & Thierry Baudet,Partijvoorkeur,Krant,Nauwelijks,1.59,3.15
FvD & Thierry Baudet,Partijvoorkeur,Krant,Regelmatig,1.65,3.8
FvD & Thierry Baudet,Partijvoorkeur,Krant,Vaak,1.72,3.35
FvD & Thierry Baudet,Partijvoorkeur,Socials,Nauwelijks,1.61,3.04
FvD & Thierry Baudet,Partijvoorkeur,Socials,Regelmatig,1.7,3.89
FvD & Thierry Baudet,Partijvoorkeur,Socials,Vaak,1.75,4.02
FvD & Thierry Baudet,Partijvoorkeur,TV,Nauwelijks,1.55,3.49
FvD & Thierry Baudet,Partijvoorkeur,TV,Regelmatig,1.59,3.86
FvD & Thierry Baudet,Partijvoorkeur,TV,Vaak,1.7,3.19
FvD & Thierry Baudet,Zwevend,Krant,Nauwelijks,1.46,3.43
FvD & Thierry Baudet,Zwevend,Krant,Regelmatig,1.49,4.8
FvD & Thierry Baudet,Zwevend,Krant,Vaak,1.69,4.26
FvD & Thierry Baudet,Zwevend,Socials,Nauwelijks,1.51,3.59
FvD & Thierry Baudet,Zwevend,Socials,Regelmatig,1.55,4.5
FvD & Thierry Baudet,Zwevend,Socials,Vaak,1.6,4.81
FvD & Thierry Baudet,Zwevend,TV,Nauwelijks,1.34,3
FvD & Thierry Baudet,Zwevend,TV,Regelmatig,1.5,5
FvD & Thierry Baudet,Zwevend,TV,Vaak,1.62,3.96
GL & Jesse Klaver,Coalitievoorkeur,Krant,Nauwelijks,1.53,5.39
GL & Jesse Klaver,Coalitievoorkeur,Krant,Regelmatig,1.6,5.55
GL & Jesse Klaver,Coalitievoorkeur,Krant,Vaak,1.72,5.38
GL & Jesse Klaver,Coalitievoorkeur,Socials,Nauwelijks,1.58,5.27
GL & Jesse Klaver,Coalitievoorkeur,Socials,Regelmatig,1.66,5.5
GL & Jesse Klaver,Coalitievoorkeur,Socials,Vaak,1.73,5.77
GL & Jesse Klaver,Coalitievoorkeur,TV,Nauwelijks,1.38,5.2
GL & Jesse Klaver,Coalitievoorkeur,TV,Regelmatig,1.58,5.52
GL & Jesse Klaver,Coalitievoorkeur,TV,Vaak,1.72,5.45
GL & Jesse Klaver,Niet stemmer,Krant,Nauwelijks,0.97,5.47
GL & Jesse Klaver,Niet stemmer,Krant,Regelmatig,1.22,6.6
GL & Jesse Klaver,Niet stemmer,Krant,Vaak,1.53,6.17
GL & Jesse Klaver,Niet stemmer,Socials,Nauwelijks,1.02,5.73
GL & Jesse Klaver,Niet stemmer,Socials,Regelmatig,1.14,6
GL & Jesse Klaver,Niet stemmer,Socials,Vaak,1.67,6
GL & Jesse Klaver,Niet stemmer,TV,Nauwelijks,0.89,5.83
GL & Jesse Klaver,Niet stemmer,TV,Regelmatig,1.22,6
GL & Jesse Klaver,Niet stemmer,TV,Vaak,1.46,5.71
GL & Jesse Klaver,Partijvoorkeur,Krant,Nauwelijks,1.48,5.25
GL & Jesse Klaver,Partijvoorkeur,Krant,Regelmatig,1.58,5.51
GL & Jesse Klaver,Partijvoorkeur,Krant,Vaak,1.69,5.26
GL & Jesse Klaver,Partijvoorkeur,Socials,Nauwelijks,1.54,5.13
GL & Jesse Klaver,Partijvoorkeur,Socials,Regelmatig,1.62,5.41
GL & Jesse Klaver,Partijvoorkeur,Socials,Vaak,1.71,5.72
GL & Jesse Klaver,Partijvoorkeur,TV,Nauwelijks,1.32,5.06
GL & Jesse Klaver,Partijvoorkeur,TV,Regelmatig,1.55,5.51
GL & Jesse Klaver,Partijvoorkeur,TV,Vaak,1.68,5.32
GL & Jesse Klaver,Zwevend,Krant,Nauwelijks,1.4,5.41
