mtype,id,date,publisher
Newspapers,3295872,2021-03-10,De Volkskrant
Newspapers,3295877,2021-03-10,De Volkskrant
Newspapers,2714258,2021-01-20,De Volkskrant
Newspapers,2714279,2021-01-20,De Volkskrant
Newspapers,3295924,2021-03-10,NRC Handelsblad
Newspapers,3287766,2021-03-05,De Telegraaf
Newspapers,2714360,2021-01-09,Trouw
Newspapers,2763512,2021-02-12,De Volkskrant
Newspapers,3295999,2021-03-10,NRC Handelsblad
Newspapers,3296006,2021-03-11,Trouw
Newspapers,2755344,2021-02-01,De Volkskrant
Newspapers,3296044,2021-03-11,Trouw
Newspapers,2755376,2021-02-01,De Volkskrant
Newspapers,2714430,2021-01-09,Trouw
Newspapers,2755421,2021-02-02,De Volkskrant
Newspapers,2755427,2021-02-02,De Volkskrant
Newspapers,3287922,2021-03-05,De Telegraaf
Newspapers,2714487,2021-01-11,Trouw
Newspapers,2755472,2021-02-02,De Volkskrant
Newspapers,2755499,2021-02-03,De Volkskrant
Newspapers,3287980,2021-03-05,Algemeen Dagblad
Newspapers,2763712,2021-02-13,De Telegraaf
Newspapers,2755560,2021-01-29,Algemeen Dagblad
Newspapers,2755561,2021-01-29,Algemeen Dagblad
Newspapers,2755563,2021-01-29,Algemeen Dagblad
Newspapers,2714606,2021-01-12,Trouw
Newspapers,2755580,2021-01-29,Algemeen Dagblad
Newspapers,2755581,2021-01-29,Algemeen Dagblad
Newspapers,2714637,2021-01-13,Trouw
Newspapers,2755626,2021-01-30,Algemeen Dagblad
Newspapers,2714688,2021-01-14,Trouw
Newspapers,2755661,2021-01-30,Algemeen Dagblad
Newspapers,2763863,2021-02-13,Algemeen Dagblad
Newspapers,3296351,2021-03-11,De Volkskrant
Newspapers,3296361,2021-03-11,De Volkskrant
Newspapers,2714763,2021-01-15,Trouw
Newspapers,2714773,2021-01-15,Trouw
Newspapers,2714774,2021-01-15,Trouw
Newspapers,2755746,2021-01-30,Algemeen Dagblad
Newspapers,2763971,2021-02-13,De Volkskrant
Newspapers,2764002,2021-02-13,De Volkskrant
Newspapers,2714854,2021-01-16,Trouw
Newspapers,2764012,2021-02-13,De Volkskrant
Newspapers,2714863,2021-01-16,Trouw
Newspapers,3296497,2021-03-11,NRC Handelsblad
Newspapers,2714887,2021-01-16,Trouw
Newspapers,3296521,2021-03-12,Trouw
Newspapers,3296526,2021-03-12,Trouw
Newspapers,2714911,2021-01-16,Trouw
Newspapers,2714941,2021-01-16,Trouw
Newspapers,2764112,2021-02-13,Trouw
Newspapers,2764117,2021-02-13,Trouw
Newspapers,2755934,2021-02-03,Algemeen Dagblad
Newspapers,2755937,2021-02-03,Algemeen Dagblad
Newspapers,2764134,2021-02-13,Trouw
Newspapers,2715038,2021-01-19,Trouw
Newspapers,2715048,2021-01-19,Trouw
Newspapers,2756014,2021-02-03,NRC Handelsblad
Newspapers,2764225,2021-02-13,NRC Handelsblad
Newspapers,2764240,2021-02-13,NRC Handelsblad
Newspapers,2766222,2021-02-18,NRC Handelsblad
Newspapers,3290154,2021-03-05,Het Financieele Dagblad
Newspapers,3290243,2021-03-04,Het Financieele Dagblad
Newspapers,3290248,2021-03-04,Het Financieele Dagblad
Newspapers,3290275,2021-03-04,Het Financieele Dagblad
Newspapers,3290065,2021-03-06,Het Financieele Dagblad
Newspapers,3290075,2021-03-06,Het Financieele Dagblad
Newspapers,3290085,2021-03-06,Het Financieele Dagblad
Newspapers,3290093,2021-03-06,Het Financieele Dagblad
Newspapers,3290632,2021-03-01,Het Financieele Dagblad
Newspapers,3290653,2021-03-01,Het Financieele Dagblad
Newspapers,3290400,2021-03-03,Het Financieele Dagblad
Newspapers,3290467,2021-03-02,Het Financieele Dagblad
Newspapers,3290470,2021-03-02,Het Financieele Dagblad
Newspapers,3290483,2021-03-02,Het Financieele Dagblad
Newspapers,3290485,2021-03-02,Het Financieele Dagblad
Newspapers,3290492,2021-03-02,Het Financieele Dagblad
Newspapers,3290500,2021-03-02,Het Financieele Dagblad
Newspapers,3290519,2021-03-02,Het Financieele Dagblad
Newspapers,3290346,2021-03-03,Het Financieele Dagblad
Newspapers,3290604,2021-03-01,Het Financieele Dagblad
Newspapers,3290349,2021-03-03,Het Financieele Dagblad
Newspapers,3290350,2021-03-03,Het Financieele Dagblad
Newspapers,3290606,2021-03-01,Het Financieele Dagblad
Newspapers,2666042,2021-01-02,De Telegraaf
Newspapers,2733527,2021-01-25,NRC Handelsblad
Newspapers,3291207,2021-02-23,Het Financieele Dagblad
Newspapers,3291341,2021-02-22,Het Financieele Dagblad
Newspapers,3293391,2021-01-30,Het Financieele Dagblad
Newspapers,3293394,2021-01-30,Het Financieele Dagblad
Newspapers,3293429,2021-01-30,Het Financieele Dagblad
Newspapers,3293486,2021-01-29,Het Financieele Dagblad
Newspapers,3293525,2021-01-28,Het Financieele Dagblad
Newspapers,3293533,2021-01-28,Het Financieele Dagblad
Newspapers,3291495,2021-02-20,Het Financieele Dagblad
Newspapers,3291497,2021-02-20,Het Financieele Dagblad
Newspapers,3293548,2021-01-28,Het Financieele Dagblad
Newspapers,3293598,2021-01-27,Het Financieele Dagblad
Newspapers,3291561,2021-02-19,Het Financieele Dagblad
Newspapers,3291564,2021-02-19,Het Financieele Dagblad
Newspapers,3293646,2021-01-26,Het Financieele Dagblad
Newspapers,3291605,2021-02-19,Het Financieele Dagblad
Newspapers,3293654,2021-01-26,Het Financieele Dagblad
Newspapers,3291613,2021-02-19,Het Financieele Dagblad
Newspapers,3293693,2021-01-25,Het Financieele Dagblad
Newspapers,3293703,2021-01-25,Het Financieele Dagblad
Newspapers,3291669,2021-02-18,Het Financieele Dagblad
Newspapers,3293733,2021-01-25,Het Financieele Dagblad
Newspapers,3293752,2021-01-23,Het Financieele Dagblad
Newspapers,3293775,2021-01-23,Het Financieele Dagblad
Newspapers,3293807,2021-01-23,Het Financieele Dagblad
Newspapers,3291780,2021-02-17,Het Financieele Dagblad
Newspapers,3293841,2021-01-22,Het Financieele Dagblad
Newspapers,3293843,2021-01-22,Het Financieele Dagblad
Newspapers,3293902,2021-01-21,Het Financieele Dagblad
Newspapers,3291857,2021-02-17,Het Financieele Dagblad
Newspapers,3293950,2021-01-20,Het Financieele Dagblad
Newspapers,3293965,2021-01-20,Het Financieele Dagblad
Newspapers,3291924,2021-02-16,Het Financieele Dagblad
Newspapers,3291969,2021-02-16,Het Financieele Dagblad
Newspapers,3294045,2021-01-19,Het Financieele Dagblad
Newspapers,3294085,2021-01-18,Het Financieele Dagblad
Newspapers,3292077,2021-02-15,Het Financieele Dagblad
Newspapers,3294137,2021-01-16,Het Financieele Dagblad
Newspapers,3294146,2021-01-16,Het Financieele Dagblad
Newspapers,3294156,2021-01-16,Het Financieele Dagblad
Newspapers,3292110,2021-02-13,Het Financieele Dagblad
Newspapers,3294173,2021-01-16,Het Financieele Dagblad
Newspapers,3292129,2021-02-13,Het Financieele Dagblad
Newspapers,3294210,2021-01-16,Het Financieele Dagblad
Newspapers,3294223,2021-01-15,Het Financieele Dagblad
Newspapers,3294225,2021-01-15,Het Financieele Dagblad
Newspapers,3292179,2021-02-13,Het Financieele Dagblad
Newspapers,3292181,2021-02-13,Het Financieele Dagblad
Newspapers,3294245,2021-01-15,Het Financieele Dagblad
Newspapers,3292207,2021-02-13,Het Financieele Dagblad
Newspapers,3292221,2021-02-12,Het Financieele Dagblad
Newspapers,3292228,2021-02-12,Het Financieele Dagblad
Newspapers,3294283,2021-01-14,Het Financieele Dagblad
Newspapers,3292329,2021-02-11,Het Financieele Dagblad
Newspapers,3292345,2021-02-11,Het Financieele Dagblad
Newspapers,3294495,2021-01-11,Het Financieele Dagblad
Newspapers,3294514,2021-01-09,Het Financieele Dagblad
