id,cat,subcat,label,count
2770311,actor,CDA,CDA,1
2770312,actor,CDA,CDA,3
2770485,actor,CDA,CDA,4
2770520,actor,CDA,CDA,1
2770526,actor,CDA,CDA,1
2770530,actor,CDA,CDA,4
2770573,actor,CDA,CDA,1
2770575,actor,CDA,CDA,5
2770613,actor,CDA,CDA,1
2770634,actor,CDA,CDA,1
2770642,actor,CDA,CDA,1
2770644,actor,CDA,CDA,1
2770696,actor,CDA,CDA,1
2770709,actor,CDA,CDA,4
2770714,actor,CDA,CDA,2
2770764,actor,CDA,CDA,1
2770908,actor,CDA,CDA,2
2770916,actor,CDA,CDA,1
2770964,actor,CDA,CDA,1
2770968,actor,CDA,CDA,1
2770990,actor,CDA,CDA,2
2771014,actor,CDA,CDA,2
2771023,actor,CDA,CDA,1
2771100,actor,CDA,CDA,1
2771105,actor,CDA,CDA,1
2771135,actor,CDA,CDA,1
2771180,actor,CDA,CDA,1
2771194,actor,CDA,CDA,2
2771211,actor,CDA,CDA,1
2771295,actor,CDA,CDA,6
2771296,actor,CDA,CDA,2
2771299,actor,CDA,CDA,1
2771358,actor,CDA,CDA,9
2771361,actor,CDA,CDA,1
2771377,actor,CDA,CDA,2
2771410,actor,CDA,CDA,1
2771491,actor,CDA,CDA,1
2771505,actor,CDA,CDA,1
2771571,actor,CDA,CDA,8
2771642,actor,CDA,CDA,1
2771670,actor,CDA,CDA,1
2771671,actor,CDA,CDA,2
2771686,actor,CDA,CDA,1
2771687,actor,CDA,CDA,1
2771690,actor,CDA,CDA,2
2771711,actor,CDA,CDA,1
2771842,actor,CDA,CDA,1
2771849,actor,CDA,CDA,5
2771853,actor,CDA,CDA,4
2771885,actor,CDA,CDA,1
2771908,actor,CDA,CDA,2
2771913,actor,CDA,CDA,2
2771916,actor,CDA,CDA,2
2771926,actor,CDA,CDA,1
2771959,actor,CDA,CDA,2
2771960,actor,CDA,CDA,1
2771992,actor,CDA,CDA,5
2772045,actor,CDA,CDA,2
2772064,actor,CDA,CDA,1
2772111,actor,CDA,CDA,2
2772259,actor,CDA,CDA,8
2772303,actor,CDA,CDA,6
2772316,actor,CDA,CDA,4
2772342,actor,CDA,CDA,4
2772351,actor,CDA,CDA,1
2772388,actor,CDA,CDA,5
2772648,actor,CDA,CDA,1
2772651,actor,CDA,CDA,1
2778418,actor,CDA,CDA,1
