"name_label","date","platform","dif","final_label"
"Lilian Marijnissen (SP)",2021-01-05,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-06,"facebook",0.03,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-07,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-08,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-09,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-10,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-11,"facebook",0.01,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-12,"facebook",0.01,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-13,"facebook",0.01,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-14,"facebook",0,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-15,"facebook",-0.01,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-16,"facebook",0.02,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-17,"facebook",0.03,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-18,"facebook",0.04,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-19,"facebook",0.05,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-20,"facebook",0.09,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-22,"facebook",0.16,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-23,"facebook",0.18,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-24,"facebook",0.18,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-25,"facebook",0.19,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-26,"facebook",0.2,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-27,"facebook",0.21,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-29,"facebook",0.24,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-30,"facebook",0.25,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-01-31,"facebook",0.24,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-02,"facebook",0.24,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-03,"facebook",0.23,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-04,"facebook",0.23,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-05,"facebook",0.23,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-06,"facebook",0.24,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-07,"facebook",0.24,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-09,"facebook",0.28,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-11,"facebook",0.27,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-12,"facebook",0.27,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-13,"facebook",0.28,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-14,"facebook",0.28,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Lilian Marijnissen (SP)",2021-02-15,"facebook",0.28,"Lilian Marijnissen (SP):  81,044 to  81,280 (+0%)"
"Gert-Jan Segers (CU)",2021-01-01,"facebook",0,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-02,"facebook",0.08,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-03,"facebook",0.16,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-04,"facebook",0.23,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-05,"facebook",0.31,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-06,"facebook",0.32,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-07,"facebook",0.33,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-08,"facebook",0.35,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-09,"facebook",0.35,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-10,"facebook",0.36,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
"Gert-Jan Segers (CU)",2021-01-11,"facebook",0.43,"Gert-Jan Segers (CU):  35,627 to  36,215 (+2%)"
