"name_label","date","twitter_diff","final_label"
"Kees van der Staaij (SGP)",2021-02-05,0.1,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-06,0.12,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-07,0.15,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-08,0.17,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-09,0.2,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-10,0.22,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-11,0.24,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-12,0.27,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-13,0.28,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-14,0.28,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Kees van der Staaij (SGP)",2021-02-15,0.28,"Kees van der Staaij (SGP): 86,034 to 86,525 (+1%)"
"Sigird Kaag (D66)",2021-01-21,0,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-22,0.34,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-23,0.68,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-24,1.02,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-25,1.36,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-26,1.7,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-27,2.04,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-28,2.38,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-29,2.72,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-30,3.02,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-01-31,3.19,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-01,3.35,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-02,3.52,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-03,3.69,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-04,3.82,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-05,3.85,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-06,3.89,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-07,3.93,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
"Sigird Kaag (D66)",2021-02-08,3.96,"Sigird Kaag (D66): 58,975 to 62,227 (+6%)"
