"date","instagram","diff","name_label","final_label"
2021-01-05,"estherouwehandpvdd",0.59,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-06,"estherouwehandpvdd",0.74,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-07,"estherouwehandpvdd",0.88,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-08,"estherouwehandpvdd",1.03,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-09,"estherouwehandpvdd",1.18,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-10,"estherouwehandpvdd",1.33,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-11,"estherouwehandpvdd",1.48,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-12,"estherouwehandpvdd",1.62,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-13,"estherouwehandpvdd",1.77,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-14,"estherouwehandpvdd",1.93,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-15,"estherouwehandpvdd",2.24,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-16,"estherouwehandpvdd",2.56,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-17,"estherouwehandpvdd",2.87,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-18,"estherouwehandpvdd",3.18,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
2021-01-19,"estherouwehandpvdd",3.5,"Esther Ouwehand (PvdD)","Esther Ouwehand (PvdD):   5,803 to   6,834 (+18%)"
